english	de	fr	ko	es	ru	el	zh-Hans	zh-Hant	it	pt-BR	ja	pl
Hidden achievement	Versteckte Errungenschaft	Succès caché	숨겨진 도전 과제	Logro oculto	Скрытое достижение	Κρυφό επίτευγμα	隐藏成就	隱藏成就	Obiettivo nascosto	Conquista oculta	隠し実績	Ukryte osiągnięcie
Today	Heute	Aujourd'hui	오늘	Hoy	Сегодня	Σήμερα	今天	今天	Oggi	Hoje	今日	Dziś
Yesterday	Gestern	Hier	어제	Ayer	Вчера	Χθες	昨天	昨天	Ieri	Ontem	昨日	Wczoraj
just now	gerade eben	à l'instant	방금	ahora mismo	только что	μόλις τώρα	刚刚	剛剛	adesso	agora mesmo	たった今	przed chwilą
{0} min ago	vor {0} Min.	il y a {0} min	{0}분 전	hace {0} min	{0} мин назад	πριν {0} λεπτά	{0} 分钟前	{0} 分鐘前	{0} min fa	há {0} min	{0} 分前	{0} min temu
{0} h ago	vor {0} Std.	il y a {0} h	{0}시간 전	hace {0} h	{0} ч назад	πριν {0} ώρες	{0} 小时前	{0} 小時前	{0} h fa	há {0} h	{0} 時間前	{0} godz. temu
yesterday	gestern	hier	어제	ayer	вчера	χθες	昨天	昨天	ieri	ontem	昨日	wczoraj
{0} days ago	vor {0} Tagen	il y a {0} jours	{0}일 전	hace {0} días	{0} дн. назад	πριν {0} ημέρες	{0} 天前	{0} 天前	{0} giorni fa	há {0} dias	{0} 日前	{0} dni temu
Achievement in {0}	Errungenschaft in {0}	Succès dans {0}	{0} 도전 과제	Logro en {0}	Достижение в {0}	Επίτευγμα στο {0}	{0} 中的成就	{0} 中的成就	Obiettivo in {0}	Conquista em {0}	{0} の実績	Osiągnięcie w {0}
{0} achievements in {1}	{0} Errungenschaften in {1}	{0} succès dans {1}	{1} 도전 과제 {0}개	{0} logros en {1}	{0} достижений в {1}	{0} επιτεύγματα στο {1}	{1} 中的 {0} 个成就	{1} 中的 {0} 個成就	{0} obiettivi in {1}	{0} conquistas em {1}	{1} で {0} 個の実績	{0} osiągnięć w {1}
Played {0} for the first time	Hat {0} zum ersten Mal gespielt	A joué à {0} pour la première fois	{0} 첫 플레이	Jugó a {0} por primera vez	Впервые играл в {0}	Έπαιξε {0} για πρώτη φορά	首次玩了 {0}	首次玩了 {0}	Ha giocato a {0} per la prima volta	Jogou {0} pela primeira vez	{0} を初プレイ	Zagrał w {0} po raz pierwszy
Played {0}	Spielte {0}	A joué à {0}	{0} 플레이	Jugó a {0}	Играл в {0}	Έπαιξε {0}	玩了 {0}	玩了 {0}	Ha giocato a {0}	Jogou {0}	{0} をプレイ	Grał w {0}
Last online {0}	Zuletzt online {0}	En ligne {0}	마지막 접속 {0}	En línea {0}	Был в сети {0}	Τελευταία σύνδεση {0}	上次在线 {0}	上次上線 {0}	Ultimo accesso {0}	Visto por último {0}	最終オンライン {0}	Ostatnio online {0}
Activate Game Bar auto-jump	Game-Bar-Autosprung aktivieren	Activer le saut auto Game Bar	Game Bar 자동 이동 켜기	Activar el salto automático	Включить автопереход Game Bar	Ενεργοποίηση αυτόματης μετάβασης Game Bar	启用 Game Bar 自动跳转	啟用 Game Bar 自動跳轉	Attiva il salto automatico Game Bar	Ativar o salto automático da Game Bar	Game Bar 自動ジャンプを有効化	Włącz automatyczny skok Game Bar
Add ClawTweaks to the Game Bar	ClawTweaks zur Game Bar hinzufügen	Ajouter ClawTweaks à la Game Bar	Game Bar에 ClawTweaks 추가	Añadir ClawTweaks a la Game Bar	Добавить ClawTweaks в Game Bar	Προσθήκη του ClawTweaks στο Game Bar	把 ClawTweaks 添加到 Game Bar	把 ClawTweaks 加入 Game Bar	Aggiungi ClawTweaks alla Game Bar	Adicionar o ClawTweaks à Game Bar	ClawTweaks を Game Bar に追加	Dodaj ClawTweaks do Game Bar
Add ClawTweaks to the Game Bar first.	Erst ClawTweaks zur Game Bar hinzufügen.	Ajoutez d'abord ClawTweaks à la Game Bar.	먼저 Game Bar에 ClawTweaks를 추가하세요.	Añade antes ClawTweaks a la Game Bar.	Сначала добавьте ClawTweaks в Game Bar.	Προσθέστε πρώτα το ClawTweaks στο Game Bar.	请先把 ClawTweaks 添加到 Game Bar。	請先把 ClawTweaks 加入 Game Bar。	Aggiungi prima ClawTweaks alla Game Bar.	Adicione o ClawTweaks à Game Bar primeiro.	先に ClawTweaks を Game Bar に追加してください。	Najpierw dodaj ClawTweaks do Game Bar.
Add ROMs in Playnite, then close it — they are found automatically.	Füge ROMs in Playnite hinzu und schließe es — sie werden automatisch gefunden.	Ajoutez vos ROM dans Playnite puis fermez-le — elles sont trouvées automatiquement.	Playnite에서 ROM을 추가한 뒤 닫으세요 — 자동으로 검색됩니다.	Añade ROM en Playnite y ciérralo — se encuentran automáticamente.	Добавьте ROM-ы в Playnite и закройте его — они найдутся автоматически.	Προσθέστε ROM στο Playnite και κλείστε το — βρίσκονται αυτόματα.	在 Playnite 中添加 ROM 后关闭它 — 会自动找到。	在 Playnite 中加入 ROM 後關閉它 — 會自動找到。	Aggiungi le ROM in Playnite, poi chiudilo — vengono trovate da sole.	Adicione as ROMs no Playnite e feche-o — elas são encontradas automaticamente.	Playnite に ROM を追加して閉じてください — 自動的に見つかります。	Dodaj ROM-y w Playnite i zamknij go — zostaną znalezione automatycznie.
Add a desktop icon	Desktop-Verknüpfung erstellen	Ajouter une icône au bureau	바탕 화면 아이콘 추가	Añadir icono al escritorio	Значок на рабочем столе	Προσθήκη συντόμευσης	创建桌面图标	建立桌面圖示	Aggiungi un'icona sul desktop	Ícone na área de trabalho	デスクトップにアイコンを作成	Ikona na pulpicie
Add an app	App hinzufügen	Ajouter une app	앱 추가	Añadir una app	Добавить прилож.	Νέα εφαρμογή	添加应用	新增應用程式	Aggiungi un'app	Adicionar um app	アプリを追加	Dodaj aplikację
Add app	Hinzufügen	Ajouter	앱 추가	Añadir app	Добавить	Προσθήκη	添加应用	新增程式	Aggiungi app	Add. app	アプリ追加	Dodaj apl.
Add it under Settings → SteamGridDB key.	Unter Einstellungen → SteamGridDB-Key eintragen.	Ajoutez-la dans Paramètres → clé SteamGridDB.	설정 → SteamGridDB 키에 입력하세요.	Añádela en Ajustes → clave de SteamGridDB.	Добавьте его в Настройки → ключ SteamGridDB.	Προσθέστε το στις Ρυθμίσεις → κλειδί SteamGridDB.	在设置 → SteamGridDB 密钥中添加。	在設定 → SteamGridDB 金鑰中加入。	Inseriscila in Impostazioni → chiave SteamGridDB.	Adicione em Configurações → chave SteamGridDB.	設定 → SteamGridDB キーで追加してください。	Dodaj go w Ustawienia → klucz SteamGridDB.
Add to Favorites	Zu Favoriten	Aux favoris	즐겨찾기 추가	A favoritos	В избранное	Προσθήκη στα αγαπημένα	添加到收藏	加入收藏	Aggiungi ai preferiti	Adicionar aos favoritos	お気に入りに追加	Dodaj do ulubionych
After starting a game	Nach dem Spielstart	Après le lancement	게임 실행 후	Tras iniciar un juego	После запуска игры	Μετά την εκκίνηση παιχνιδιού	启动游戏后	啟動遊戲後	Dopo l'avvio di un gioco	Depois de iniciar um jogo	ゲーム開始後	Po uruchomieniu gry
All	Alle	Tous	전체	Todos	Все	Όλα	全部	全部	Tutti	Todos	すべて	Wszystko
All achievements…	Alle Errungenschaften…	Tous les succès…	모든 도전 과제…	Todos los logros…	Все достижения…	Όλα τα επιτεύγματα…	全部成就…	全部成就…	Tutti gli obiettivi…	Todas as conquistas…	すべての実績…	Wszystkie osiągnięcia…
All systems	Alle Systeme	Tous les systèmes	모든 시스템	Todos los sistemas	Все системы	Όλα τα συστήματα	全部平台	全部平台	Tutti i sistemi	Todos os sistemas	すべての機種	Wszystkie systemy
All tabs shown	Alle Tabs sichtbar	Tous les onglets	모든 탭 표시	Todas las pestañas	Все вкладки	Όλες οι καρτέλες ορατές	已显示全部标签	已顯示全部標籤	Tutte le schede	Todas as abas	すべてのタブを表示中	Wszystkie karty
Almost done	Fast fertig	Presque fini	거의 다 됐습니다	Casi listo	Почти готово	Σχεδόν έτοιμο	就快好了	就快好了	Quasi fatto	Quase pronto	もうすぐ完了	Prawie gotowe
Almost — but in the wrong place	Fast — aber am falschen Ort	Presque — mais au mauvais endroit	거의 — 하지만 위치가 잘못됨	Casi — pero en el sitio erróneo	Почти — но не туда	Σχεδόν — αλλά σε λάθος θέση	差一点 — 但位置不对	差一點 — 但位置不對	Quasi — ma nel posto sbagliato	Quase — mas no lugar errado	惜しい — 場所が違います	Prawie — ale w złym miejscu
Already disabled.	Bereits abgeschaltet.	Déjà désactivé.	이미 비활성화됨.	Ya está desactivado.	Уже отключено.	Ήδη απενεργοποιημένο.	已经关闭。	已經關閉。	Già disattivato.	Já desativado.	すでに無効です。	Już wyłączone.
Already enabled.	Bereits aktiviert.	Déjà activé.	이미 활성화됨.	Ya está activado.	Уже включено.	Ήδη ενεργοποιημένο.	已经开启。	已經開啟。	Già attivato.	Já ativado.	すでに有効です。	Już włączone.
Also looks for new cover art	Sucht auch nach neuem Cover	Cherche aussi une jaquette	새 커버도 함께 찾습니다	También busca nueva portada	Также ищет новые обложки	Ψάχνει και για νέα εξώφυλλα	同时寻找新封面	同時尋找新封面	Cerca anche nuove copertine	Também procura novas capas	新しいカバーも探します	Szuka też nowych okładek
An automatic backup of your current settings is created before the reset, so you can restore it later from Restore Backup. The Game Bar will be closed — reopen it (Win+G) afterwards.	Vor dem Zurücksetzen wird automatisch ein Backup deiner Einstellungen angelegt, das du später über Backup zurückholen kannst. Die Game Bar wird geschlossen — danach mit Win+G wieder öffnen.	Une sauvegarde automatique de vos réglages est créée avant la remise à zéro ; vous pourrez la restaurer plus tard. La Game Bar sera fermée — rouvrez-la avec Win+G.	초기화 전에 현재 설정이 자동으로 백업되며 나중에 백업 복원에서 되돌릴 수 있습니다. Game Bar가 닫히므로 나중에 Win+G로 다시 여세요.	Antes del restablecimiento se crea una copia automática de tus ajustes, que podrás restaurar después. La Game Bar se cerrará — vuelve a abrirla con Win+G.	Перед сбросом автоматически создаётся копия текущих настроек, которую потом можно вернуть через «Восстановить копию». Game Bar будет закрыт — откройте его снова (Win+G).	Πριν την επαναφορά δημιουργείται αυτόματο αντίγραφο των τρεχουσών ρυθμίσεων, ώστε να το επαναφέρετε αργότερα από την Επαναφορά αντιγράφου. Το Game Bar θα κλείσει — ανοίξτε το ξανά (Win+G) μετά.	重置前会自动备份当前设置，之后可以从「还原备份」取回。Game Bar 会关闭 — 完成后请用 (Win+G) 重新打开。	重設前會自動備份目前設定，之後可以從「還原備份」取回。Game Bar 會關閉 — 完成後請用 (Win+G) 重新開啟。	Prima del reset viene creato un backup automatico delle impostazioni, ripristinabile poi da Ripristina backup. La Game Bar verrà chiusa — riaprila (Win+G) dopo.	Um backup automático das configurações atuais é criado antes da redefinição, para restaurar depois em Restaurar backup. A Game Bar será fechada — reabra-a (Win+G) depois.	リセット前に現在の設定が自動でバックアップされるので、後から「バックアップの復元」で戻せます。Game Bar は閉じられます — 終わったら (Win+G) で開き直してください。	Przed resetem tworzona jest automatyczna kopia bieżących ustawień, którą możesz później przywrócić w Przywróć kopię. Game Bar zostanie zamknięty — otwórz go potem (Win+G).
An existing ClawTweaks installation was found. The setup will re-check all prerequisites and install the latest package.	Eine vorhandene ClawTweaks-Installation wurde gefunden. Das Setup prüft alle Voraussetzungen erneut und installiert das neueste Paket.	Une installation ClawTweaks existante a été trouvée. Le setup revérifie les prérequis et installe le dernier paquet.	기존 ClawTweaks 설치를 찾았습니다. 설치 프로그램이 요구 사항을 다시 확인하고 최신 패키지를 설치합니다.	Se encontró una instalación de ClawTweaks. El setup revisa los requisitos e instala el último paquete.	Найдена существующая установка ClawTweaks. Установщик заново проверит требования и установит последний пакет.	Βρέθηκε υπάρχουσα εγκατάσταση ClawTweaks. Το setup θα ελέγξει ξανά όλα τα προαπαιτούμενα και θα εγκαταστήσει το νεότερο πακέτο.	找到了已有的 ClawTweaks 安装。安装程序会重新检查全部先决条件并安装最新的包。	找到了既有的 ClawTweaks 安裝。安裝程式會重新檢查全部必要條件並安裝最新的套件。	Trovata un'installazione di ClawTweaks. Il setup ricontrolla i prerequisiti e installa il pacchetto più recente.	Uma instalação do ClawTweaks foi encontrada. O setup verifica os pré-requisitos de novo e instala o pacote mais recente.	既存の ClawTweaks インストールが見つかりました。セットアップは前提条件をすべて再確認し、最新パッケージをインストールします。	Znaleziono istniejącą instalację ClawTweaks. Instalator ponownie sprawdzi wymagania i zainstaluje najnowszy pakiet.
An older ClawTweaks Center is still installed	Ein älteres ClawTweaks Center ist noch installiert	Un ancien ClawTweaks Center est encore installé	이전 ClawTweaks Center가 아직 설치되어 있습니다	Sigue instalado un ClawTweaks Center anterior	Старый ClawTweaks Center всё ещё установлен	Είναι ακόμη εγκατεστημένο ένα παλιότερο ClawTweaks Center	仍装有较旧的 ClawTweaks Center	仍裝有較舊的 ClawTweaks Center	È ancora installato un ClawTweaks Center più vecchio	Um ClawTweaks Center mais antigo ainda está instalado	古い ClawTweaks Center がまだ入っています	Starszy ClawTweaks Center jest nadal zainstalowany
Answers to the questions that come up most.	Antworten auf die häufigsten Fragen.	Réponses aux questions les plus fréquentes.	자주 나오는 질문에 대한 답변입니다.	Respuestas a las preguntas más frecuentes.	Ответы на самые частые вопросы.	Απαντήσεις στις πιο συχνές ερωτήσεις.	最常见问题的解答。	最常見問題的解答。	Risposte alle domande più frequenti.	Respostas às perguntas mais frequentes.	よくある質問への回答です。	Odpowiedzi na najczęstsze pytania.
Anti-cheat	Anti-Cheat	Anti-triche	안티치트	Anti-trampas	Античит		反作弊	反作弊	Anti-cheat		アンチチート	
App package	App-Paket	Paquet de l'app	앱 패키지	Paquete de la app	Пакет приложения	Πακέτο εφαρμογής	应用包	應用程式套件	Pacchetto app	Pacote do app	アプリパッケージ	Pakiet aplikacji
Back	Zurück	Retour	뒤로	Atrás	Назад	Πίσω	返回	返回	Indietro	Voltar	戻る	Wstecz
Back to library	Zur Bibliothek	Retour bibliothèque	라이브러리로	A la biblioteca	В библиотеку	Πίσω στη βιβλιοθήκη	返回游戏库	返回遊戲庫	Alla libreria	Para a biblioteca	ライブラリに戻る	Do biblioteki
Back to the cover Center finds itself	Zurück zum Cover, das Center selbst findet	Revenir à la jaquette trouvée par Center	Center가 찾는 커버로 되돌립니다	Vuelve a la portada que Center encuentra	Вернуть обложку, которую Center находит сам	Πίσω στο εξώφυλλο που βρίσκει μόνο του το Center	回到 Center 自己找到的封面	回到 Center 自己找到的封面	Torna alla copertina trovata da Center	Voltar à capa que o Center encontra sozinho	Center が自動で見つけたカバーに戻します	Wróć do okładki, którą Center znajduje sam
Backup created	Backup erstellt	Backup créé	백업 생성됨	Copia creada	Копия создана	Δημιουργήθηκε αντίγραφο	已创建备份	已建立備份	Backup creato	Backup criado	バックアップを作成	Kopia utworzona
Backup failed	Backup fehlgeschlagen	Échec du backup	백업 실패	Fallo de copia	Ошибка копии	Το αντίγραφο απέτυχε	备份失败	備份失敗	Backup non riuscito	Falha no backup	バックアップに失敗	Kopia nie powiodła się
Blocked	Gesperrt	Bloquée	차단됨	Bloqueada	Блокировано	Αποκλεισμένο	已阻止	已封鎖	Bloccato	Bloqueado	ブロック中	Zablokowane
Both write the same hardware, and the last one to write wins.	Beide schreiben dieselbe Hardware, und der letzte Schreiber gewinnt.	Les deux écrivent le même matériel, et le dernier l'emporte.	둘 다 같은 하드웨어에 쓰며, 마지막에 쓴 쪽이 이깁니다.	Ambos escriben el mismo hardware, y gana el último.	Оба пишут в одно и то же железо, и побеждает тот, кто записал последним.	Και τα δύο γράφουν στο ίδιο υλικό, και επικρατεί όποιο γράψει τελευταίο.	两者写入同一套硬件，最后写入的一方生效。	兩者寫入同一套硬體，最後寫入的一方生效。	Entrambi scrivono lo stesso hardware, e vince l'ultimo che scrive.	Os dois escrevem no mesmo hardware, e o último a escrever vence.	どちらも同じハードウェアに書き込むため、最後に書いた方が有効になります。	Oba zapisują ten sam sprzęt, a wygrywa ten, który zapisze ostatni.
Bring back a previous backup. A safety copy of the current state is taken automatically first.	Spielt ein früheres Backup zurück. Vom aktuellen Stand wird vorher automatisch eine Sicherung angelegt.	Restaure un backup précédent. Une copie de sécurité de l'état actuel est faite d'abord.	이전 백업을 되돌립니다. 현재 상태는 먼저 자동으로 백업됩니다.	Restaura una copia anterior. Antes se guarda automáticamente el estado actual.	Вернуть прежнюю копию. Сначала автоматически сохраняется страховочная копия текущего состояния.	Επαναφέρετε ένα προηγούμενο αντίγραφο. Πρώτα κρατιέται αυτόματα εφεδρικό αντίγραφο της τρέχουσας κατάστασης.	取回之前的备份。系统会先自动为当前状态留一份副本。	取回之前的備份。系統會先自動為目前狀態留一份副本。	Ripristina un backup precedente. Prima viene fatta in automatico una copia di sicurezza dello stato attuale.	Traz de volta um backup anterior. Antes, uma cópia de segurança do estado atual é feita automaticamente.	以前のバックアップを戻します。先に現在の状態の控えが自動で作られます。	Przywróć wcześniejszą kopię zapasową. Najpierw automatycznie zapisywana jest kopia bieżącego stanu.
Browse for a file	Datei auswählen	Parcourir un fichier	파일 찾아보기	Buscar un archivo	Выбрать файл	Αναζήτηση αρχείου	浏览文件	瀏覽檔案	Cerca un file	Procurar um arquivo	ファイルを選ぶ	Wybierz plik
Browse…	Durchsuchen…	Parcourir…	찾아보기…	Examinar…	Обзор…	Αναζήτηση…	浏览…	瀏覽…	Sfoglia…	Procurar…	参照…	Przeglądaj…
Center background	Center-Hintergrund	Fond de Center	Center 배경	Fondo de Center	Фон Center	Φόντο του Center	Center 背景	Center 背景	Sfondo di Center	Fundo do Center	Center の背景	Tło Center
Change folder	Ordner wechseln	Changer de dossier	폴더 변경	Cambiar carpeta	Сменить папку	Αλλαγή φακέλου	更换文件夹	更換資料夾	Cambia cartella	Mudar pasta	フォルダーを変更	Zmień folder
Choose one of your images	Eigenes Bild wählen	Choisir une de vos images	내 이미지 선택	Elegir una de tus imágenes	Выберите своё изображение	Επιλέξτε μία από τις εικόνες σας	从你的图片中选择	從你的圖片中選擇	Scegli una tua immagine	Escolha uma imagem sua	自分の画像から選ぶ	Wybierz własny obraz
Choose a background	Hintergrund wählen	Choisir un fond	배경 선택	Elegir un fondo	Выберите фон	Επιλέξτε φόντο	选择背景	選擇背景	Scegli uno sfondo	Escolha um fundo	背景を選ぶ	Wybierz tło
CPU boost	CPU-Boost	Boost CPU	CPU 부스트	Boost de CPU	Boost ЦП	Boost CPU	CPU 加速	CPU 加速	Boost CPU	Boost da CPU	CPU ブースト	Boost CPU
CTW Full Reset	CTW ganz zurücksetzen	Reset complet CTW	CTW 전체 초기화	Restablecer todo CTW	Полный сброс CTW	Πλήρης επαναφορά CTW	CTW 完全重置	CTW 完全重設	Reset completo CTW	Redefinir tudo (CTW)	CTW 完全リセット	Pełny reset CTW
Cancel	Abbrechen	Annuler	취소	Cancelar	Отмена	Άκυρο	取消	取消	Annulla	Cancelar	キャンセル	Anuluj
