section	key	en	de	fr	ko	es	ru	el	zh-Hans	zh-Hant	it	pt-BR	ja	pl
the full screen home app	FseOpenSettings	Open Windows settings	Windows-Einstellungen öffnen	Ouvrir les paramètres Windows	Windows 설정 열기	Abrir la configuración de Windows	Открыть параметры Windows	Άνοιγμα ρυθμίσεων Windows	打开 Windows 设置	開啟 Windows 設定	Apri le impostazioni di Windows	Abrir as configurações do Windows	Windows の設定を開く	Otwórz ustawienia Windows
the full screen home app	FseStatus	Setting up the full screen home app...	Vollbild-Start-App wird eingerichtet...	Configuration de l'application d'accueil plein écran...	전체 화면 홈 앱을 설정하는 중...	Configurando la app de inicio a pantalla completa...	Настройка полноэкранного приложения...	Ρύθμιση της εφαρμογής πλήρους οθόνης...	正在设置全屏主页应用...	正在設定全螢幕主畫面應用程式...	Configurazione dell'app a schermo intero...	Configurando o app de tela cheia...	全画面ホームアプリを設定しています...	Konfigurowanie aplikacji pełnoekranowej...
the full screen home app	FseDevBlocked	Windows developer mode is blocked on this device.%n%nClawTweaks Center cannot be offered as a full screen home app.%nEverything else is installed.	Der Windows-Entwicklermodus ist auf diesem Gerät gesperrt.%n%nClawTweaks Center kann nicht als Vollbild-Start-App angeboten werden.%nAlles andere ist installiert.	Le mode développeur de Windows est bloqué sur cet appareil.%n%nClawTweaks Center ne peut pas être proposé comme application d'accueil plein écran.%nTout le reste est installé.	이 장치에서는 Windows 개발자 모드가 차단되어 있습니다.%n%nClawTweaks Center를 전체 화면 홈 앱으로 제공할 수 없습니다.%n나머지는 모두 설치되었습니다.	El modo de desarrollador de Windows está bloqueado en este dispositivo.%n%nClawTweaks Center no puede ofrecerse como app de inicio a pantalla completa.%nTodo lo demás está instalado.	Режим разработчика Windows заблокирован на этом устройстве.%n%nClawTweaks Center нельзя предложить как полноэкранное приложение.%nВсё остальное установлено.	Η λειτουργία προγραμματιστή των Windows είναι αποκλεισμένη σε αυτή τη συσκευή.%n%nΤο ClawTweaks Center δεν μπορεί να προταθεί ως εφαρμογή πλήρους οθόνης.%nΌλα τα υπόλοιπα εγκαταστάθηκαν.	这台设备上的 Windows 开发者模式被阻止。%n%n无法把 ClawTweaks Center 作为全屏主页应用提供。%n其他一切都已安装。	這台裝置上的 Windows 開發人員模式被封鎖。%n%n無法把 ClawTweaks Center 作為全螢幕主畫面應用程式提供。%n其他一切都已安裝。	La modalità sviluppatore di Windows è bloccata su questo dispositivo.%n%nClawTweaks Center non può essere proposto come app a schermo intero.%nTutto il resto è installato.	O modo de desenvolvedor do Windows está bloqueado neste dispositivo.%n%nO ClawTweaks Center não pode ser oferecido como app de tela cheia.%nTodo o resto foi instalado.	このデバイスでは Windows の開発者モードがブロックされています。%n%nClawTweaks Center を全画面ホームアプリとして提案できません。%nそれ以外はすべてインストールされました。	Tryb dewelopera Windows jest zablokowany na tym urządzeniu.%n%nClawTweaks Center nie może zostać zaproponowany jako aplikacja pełnoekranowa.%nCała reszta jest zainstalowana.
the full screen home app	FseFailed	ClawTweaks Center could not be added to the Windows full screen list.%n%nEverything else is installed. The setup log has the reason.	ClawTweaks Center konnte nicht in die Windows-Vollbildliste aufgenommen werden.%n%nAlles andere ist installiert. Der Grund steht im Setup-Log.	ClawTweaks Center n'a pas pu être ajouté à la liste plein écran de Windows.%n%nTout le reste est installé. Le journal d'installation indique la raison.	ClawTweaks Center를 Windows 전체 화면 목록에 추가하지 못했습니다.%n%n나머지는 모두 설치되었습니다. 이유는 설치 로그에 있습니다.	No se pudo añadir ClawTweaks Center a la lista de pantalla completa de Windows.%n%nTodo lo demás está instalado. El registro de instalación indica el motivo.	Не удалось добавить ClawTweaks Center в полноэкранный список Windows.%n%nВсё остальное установлено. Причина есть в журнале установки.	Το ClawTweaks Center δεν προστέθηκε στη λίστα πλήρους οθόνης των Windows.%n%nΌλα τα υπόλοιπα εγκαταστάθηκαν. Ο λόγος είναι στο αρχείο καταγραφής.	无法把 ClawTweaks Center 加入 Windows 的全屏列表。%n%n其他一切都已安装。原因在安装日志里。	無法把 ClawTweaks Center 加入 Windows 的全螢幕清單。%n%n其他一切都已安裝。原因在安裝記錄檔裡。	ClawTweaks Center non è stato aggiunto all'elenco a schermo intero di Windows.%n%nTutto il resto è installato. Il motivo è nel registro di installazione.	Não foi possível adicionar o ClawTweaks Center à lista de tela cheia do Windows.%n%nTodo o resto foi instalado. O motivo está no log da instalação.	ClawTweaks Center を Windows の全画面一覧に追加できませんでした。%n%nそれ以外はすべてインストールされました。理由はセットアップのログにあります。	Nie udało się dodać ClawTweaks Center do listy pełnoekranowej Windows.%n%nCała reszta jest zainstalowana. Powód znajdziesz w dzienniku instalacji.
the progress pages	DepPageTitle	Downloading prerequisites	Voraussetzungen werden heruntergeladen	Téléchargement des prérequis	필수 구성 요소 다운로드 중	Descargando los requisitos	Загрузка необходимых компонентов	Λήψη προαπαιτούμενων	正在下载先决条件	正在下載必要條件	Download dei prerequisiti	Baixando os pré-requisitos	前提条件をダウンロード中	Pobieranie wymaganych składników
the progress pages	DepPageDesc	Setup is fetching the tools ClawTweaks needs.	Das Setup holt die Werkzeuge, die ClawTweaks braucht.	L'installation récupère les outils dont ClawTweaks a besoin.	ClawTweaks에 필요한 도구를 가져오는 중입니다.	El instalador está obteniendo las herramientas que ClawTweaks necesita.	Программа установки получает инструменты, нужные ClawTweaks.	Το setup κατεβάζει τα εργαλεία που χρειάζεται το ClawTweaks.	安装程序正在获取 ClawTweaks 需要的工具。	安裝程式正在取得 ClawTweaks 需要的工具。	Il programma di installazione scarica gli strumenti che servono a ClawTweaks.	O instalador está buscando as ferramentas de que o ClawTweaks precisa.	セットアップが ClawTweaks に必要なツールを取得しています。	Instalator pobiera narzędzia potrzebne ClawTweaks.
the progress pages	TaskPageTitle	Finishing the installation	Installation wird abgeschlossen	Finalisation de l'installation	설치를 마치는 중	Finalizando la instalación	Завершение установки	Ολοκλήρωση της εγκατάστασης	正在完成安装	正在完成安裝	Completamento dell'installazione	Concluindo a instalação	インストールの仕上げ	Kończenie instalacji
the progress pages	TaskPageDesc	Windows asks for admin permission once more, so ClawTweaks may run as admin when Windows starts.	Windows möchte noch einmal eine Admin-Zustimmung, damit ClawTweaks beim Windows-Start als Admin laufen darf.	Windows demande encore une autorisation administrateur, pour que ClawTweaks puisse démarrer en administrateur avec Windows.	ClawTweaks가 Windows 시작 시 관리자 권한으로 실행되도록 Windows에서 관리자 승인을 한 번 더 요청합니다.	Windows pide una vez más permiso de administrador para que ClawTweaks pueda ejecutarse como administrador al iniciar Windows.	Windows ещё раз запросит права администратора, чтобы ClawTweaks мог запускаться с ними вместе с Windows.	Τα Windows ζητούν άλλη μία φορά άδεια διαχειριστή, ώστε το ClawTweaks να μπορεί να ξεκινά με δικαιώματα μαζί με τα Windows.	Windows 会再要求一次管理员权限，好让 ClawTweaks 随 Windows 启动时以管理员身份运行。	Windows 會再要求一次系統管理員權限，好讓 ClawTweaks 隨 Windows 啟動時以該權限執行。	Windows chiede ancora una volta l'autorizzazione di amministratore, così ClawTweaks può avviarsi con essa insieme a Windows.	O Windows pede permissão de administrador mais uma vez, para o ClawTweaks poder iniciar com ela junto com o Windows.	ClawTweaks が Windows と一緒に管理者権限で起動できるよう、Windows がもう一度だけ許可を求めます。	Windows jeszcze raz poprosi o zgodę administratora, aby ClawTweaks mógł z nią startować razem z Windows.
the progress pages	TaskWaitTitle	The Game Bar opens now.	Die Game Bar öffnet sich jetzt.	La Game Bar s'ouvre maintenant.	이제 Game Bar가 열립니다.	La Game Bar se abre ahora.	Сейчас откроется Game Bar.	Το Game Bar ανοίγει τώρα.	Game Bar 现在打开。	Game Bar 現在開啟。	Il Game Bar si apre adesso.	O Game Bar abre agora.	Game Bar がこれから開きます。	Game Bar otwiera się teraz.
the progress pages	TaskWaitBody	Open the ClawTweaks widget directly.	Rufe das ClawTweaks-Widget direkt auf.	Ouvrez directement le widget ClawTweaks.	ClawTweaks 위젯을 바로 여세요.	Abre directamente el widget de ClawTweaks.	Откройте виджет ClawTweaks.	Ανοίξτε απευθείας το widget του ClawTweaks.	直接打开 ClawTweaks 小组件。	直接開啟 ClawTweaks 小工具。	Apri direttamente il widget ClawTweaks.	Abra o widget do ClawTweaks direto.	ClawTweaks ウィジェットをそのまま開いてください。	Otwórz widżet ClawTweaks bezpośrednio.
the progress pages	TaskWaitHint	If you do not see it, find it among the other widgets.%n%nThen confirm the admin prompt.	Falls du es nicht siehst, findest du es unter den weiteren Widgets.%n%nBestätige dann die Admin-Abfrage.	Si vous ne le voyez pas, il se trouve parmi les autres widgets.%n%nConfirmez ensuite l'invite administrateur.	보이지 않으면 다른 위젯 목록에서 찾을 수 있습니다.%n%n그런 다음 관리자 확인 창을 승인하세요.	Si no lo ves, está entre los demás widgets.%n%nDespués confirma el aviso de administrador.	Если вы его не видите, найдите его среди других виджетов.%n%nЗатем подтвердите запрос администратора.	Αν δεν το βλέπετε, βρείτε το ανάμεσα στα άλλα widget.%n%nΜετά επιβεβαιώστε το ερώτημα διαχειριστή.	如果看不到，请在其他小组件里找一找。%n%n然后确认管理员提示。	如果看不到，請在其他小工具裡找一找。%n%n然後確認系統管理員提示。	Se non lo vedi, cercalo tra gli altri widget.%n%nPoi conferma la richiesta di amministratore.	Se não o vir, procure entre os outros widgets.%n%nDepois confirme o pedido de administrador.	見当たらない場合は、他のウィジェットの中から探してください。%n%nそのあと管理者の確認に応じてください。	Jeśli go nie widzisz, znajdź go wśród innych widżetów.%n%nPotem potwierdź monit administratora.
the progress pages	HelperPageDesc	ClawTweaks starts its new version.	ClawTweaks startet die neue Version.	ClawTweaks démarre sa nouvelle version.	ClawTweaks가 새 버전을 시작합니다.	ClawTweaks inicia su nueva versión.	ClawTweaks запускает новую версию.	Το ClawTweaks ξεκινά τη νέα του έκδοση.	ClawTweaks 正在启动新版本。	ClawTweaks 正在啟動新版本。	ClawTweaks avvia la sua nuova versione.	O ClawTweaks inicia sua nova versão.	ClawTweaks が新しいバージョンを起動します。	ClawTweaks uruchamia swoją nową wersję.
the progress pages	HelperWaitHint	If you do not see it, find it among the other widgets.%n%nSetup continues by itself.	Falls du es nicht siehst, findest du es unter den weiteren Widgets.%n%nDanach geht das Setup von selbst weiter.	Si vous ne le voyez pas, il se trouve parmi les autres widgets.%n%nL'installation reprend ensuite d'elle-même.	보이지 않으면 다른 위젯 목록에서 찾을 수 있습니다.%n%n그러면 설치가 자동으로 계속됩니다.	Si no lo ves, está entre los demás widgets.%n%nDespués, el instalador continúa solo.	Если вы его не видите, найдите его среди других виджетов.%n%nУстановка продолжится сама.	Αν δεν το βλέπετε, βρείτε το ανάμεσα στα άλλα widget.%n%nΤο setup συνεχίζει μόνο του.	如果看不到，请在其他小组件里找一找。%n%n安装程序会自己继续。	如果看不到，請在其他小工具裡找一找。%n%n安裝程式會自己繼續。	Se non lo vedi, cercalo tra gli altri widget.%n%nIl programma di installazione prosegue da solo.	Se não o vir, procure entre os outros widgets.%n%nO instalador continua sozinho.	見当たらない場合は、他のウィジェットの中から探してください。%n%nセットアップは自動で続きます。	Jeśli go nie widzisz, znajdź go wśród innych widżetów.%n%nInstalator kontynuuje sam.
the progress pages	HelperNotUpdated	ClawTweaks is installed. The new version is not running yet.%n%nOpen the Game Bar with Win+G and open the ClawTweaks widget.	ClawTweaks ist installiert. Die neue Version läuft noch nicht.%n%nÖffne die Game Bar mit Win+G und rufe das ClawTweaks-Widget auf.	ClawTweaks est installé. La nouvelle version ne tourne pas encore.%n%nOuvrez la Game Bar avec Win+G et ouvrez le widget ClawTweaks.	ClawTweaks가 설치되었습니다. 새 버전이 아직 실행되지 않았습니다.%n%nWin+G로 Game Bar를 열고 ClawTweaks 위젯을 여세요.	ClawTweaks está instalado. La nueva versión aún no se está ejecutando.%n%nAbre la Game Bar con Win+G y abre el widget de ClawTweaks.	ClawTweaks установлен. Новая версия ещё не запущена.%n%nОткройте Game Bar клавишами Win+G и откройте виджет ClawTweaks.	Το ClawTweaks εγκαταστάθηκε. Η νέα έκδοση δεν εκτελείται ακόμη.%n%nΑνοίξτε το Game Bar με Win+G και ανοίξτε το widget του ClawTweaks.	ClawTweaks 已安装。新版本还没有运行。%n%n用 Win+G 打开 Game Bar，再打开 ClawTweaks 小组件。	ClawTweaks 已安裝。新版本還沒有執行。%n%n用 Win+G 開啟 Game Bar，再開啟 ClawTweaks 小工具。	ClawTweaks è installato. La nuova versione non è ancora in esecuzione.%n%nApri il Game Bar con Win+G e apri il widget ClawTweaks.	O ClawTweaks está instalado. A nova versão ainda não está rodando.%n%nAbra o Game Bar com Win+G e abra o widget do ClawTweaks.	ClawTweaks はインストール済みです。新しいバージョンはまだ動いていません。%n%nWin+G で Game Bar を開き、ClawTweaks ウィジェットを開いてください。	ClawTweaks jest zainstalowany. Nowa wersja jeszcze nie działa.%n%nOtwórz Game Bar klawiszami Win+G i otwórz widżet ClawTweaks.
the dependencies. %1 is the tool's name, %2 a version or an exit code	DepUnsupported	%1 %2 is not supported. Remove it, then run this setup again.	%1 %2 wird nicht unterstützt. Entferne es und starte dieses Setup erneut.	%1 %2 n'est pas pris en charge. Désinstallez-le, puis relancez cette installation.	%1 %2은(는) 지원되지 않습니다. 제거한 다음 이 설치 프로그램을 다시 실행하세요.	%1 %2 no es compatible. Desinstálalo y vuelve a ejecutar este instalador.	%1 %2 не поддерживается. Удалите его и запустите установку снова.	Το %1 %2 δεν υποστηρίζεται. Αφαιρέστε το και τρέξτε ξανά αυτό το setup.	不支持 %1 %2。请卸载它，然后重新运行此安装程序。	不支援 %1 %2。請移除它，然後重新執行此安裝程式。	%1 %2 non è supportato. Rimuovilo, poi esegui di nuovo questo programma.	%1 %2 não é compatível. Remova e execute este instalador de novo.	%1 %2 は対応していません。削除してから、このセットアップをもう一度実行してください。	%1 %2 nie jest obsługiwany. Usuń go i uruchom ten instalator ponownie.
the dependencies. %1 is the tool's name, %2 a version or an exit code	DepInstalling	Installing %1...	%1 wird installiert...	Installation de %1...	%1 설치 중...	Instalando %1...	Установка %1...	Εγκατάσταση του %1...	正在安装 %1...	正在安裝 %1...	Installazione di %1...	Instalando %1...	%1 をインストール中...	Instalowanie %1...
the dependencies. %1 is the tool's name, %2 a version or an exit code	DepNoWinget	%1 could not be installed: winget is not available.%n%nInstall it yourself, then run this setup again.	%1 konnte nicht installiert werden: winget ist nicht verfügbar.%n%nInstalliere es selbst und starte dieses Setup erneut.	%1 n'a pas pu être installé : winget n'est pas disponible.%n%nInstallez-le vous-même, puis relancez cette installation.	%1을(를) 설치할 수 없습니다: winget을 사용할 수 없습니다.%n%n직접 설치한 다음 이 설치 프로그램을 다시 실행하세요.	No se pudo instalar %1: winget no está disponible.%n%nInstálalo tú mismo y vuelve a ejecutar este instalador.	Не удалось установить %1: winget недоступен.%n%nУстановите его сами и запустите установку снова.	Το %1 δεν εγκαταστάθηκε: το winget δεν είναι διαθέσιμο.%n%nΕγκαταστήστε το μόνοι σας και τρέξτε ξανά αυτό το setup.	无法安装 %1：winget 不可用。%n%n请自行安装，然后重新运行此安装程序。	無法安裝 %1：winget 無法使用。%n%n請自行安裝，然後重新執行此安裝程式。	%1 non è stato installato: winget non è disponibile.%n%nInstallalo tu, poi esegui di nuovo questo programma.	Não foi possível instalar %1: o winget não está disponível.%n%nInstale você mesmo e execute este instalador de novo.	%1 をインストールできませんでした: winget が使えません。%n%n自分でインストールしてから、このセットアップをもう一度実行してください。	Nie udało się zainstalować %1: winget jest niedostępny.%n%nZainstaluj go samodzielnie i uruchom ten instalator ponownie.
